"year","month","time","sunspots","sd","no","final","ts"
1769,4,"1769-4-15 00:00:00",161.2,-1,-1,1,1769.29
1769,5,"1769-5-15 00:00:00",122.7,-1,-1,1,1769.38
1769,6,"1769-6-15 00:00:00",157.3,-1,-1,1,1769.46
1769,7,"1769-7-15 00:00:00",197.7,-1,-1,1,1769.54
1769,8,"1769-8-15 00:00:00",200.5,-1,-1,1,1769.62
1769,9,"1769-9-15 00:00:00",248,-1,-1,1,1769.71
1769,10,"1769-10-15 00:00:00",263.7,-1,-1,1,1769.79
1769,11,"1769-11-15 00:00:00",246.8,-1,-1,1,1769.88
1769,12,"1769-12-15 00:00:00",186.7,-1,-1,1,1769.96
1770,1,"1770-1-15 00:00:00",173.3,-1,-1,1,1770.04
1770,2,"1770-2-15 00:00:00",237.5,-1,-1,1,1770.12
1770,3,"1770-3-15 00:00:00",133.5,-1,-1,1,1770.21
1770,4,"1770-4-15 00:00:00",85,-1,-1,1,1770.29
1770,5,"1770-5-15 00:00:00",116.8,-1,-1,1,1770.38
1770,6,"1770-6-15 00:00:00",138.8,-1,-1,1,1770.46
1770,7,"1770-7-15 00:00:00",183,-1,-1,1,1770.54
1770,8,"1770-8-15 00:00:00",210.5,-1,-1,1,1770.62
1770,9,"1770-9-15 00:00:00",174,-1,-1,1,1770.71
1770,10,"1770-10-15 00:00:00",172.7,-1,-1,1,1770.79
1770,11,"1770-11-15 00:00:00",220.3,-1,-1,1,1770.88
1770,12,"1770-12-15 00:00:00",170.5,-1,-1,1,1770.96
1771,1,"1771-1-15 00:00:00",60,-1,-1,1,1771.04
1771,2,"1771-2-15 00:00:00",77,-1,-1,1,1771.12
1771,3,"1771-3-15 00:00:00",77.8,-1,-1,1,1771.21
1771,4,"1771-4-15 00:00:00",108.2,-1,-1,1,1771.29
1771,5,"1771-5-15 00:00:00",254.5,-1,-1,1,1771.38
1771,6,"1771-6-15 00:00:00",199.2,-1,-1,1,1771.46
1771,7,"1771-7-15 00:00:00",112.8,-1,-1,1,1771.54
1771,8,"1771-8-15 00:00:00",97.5,-1,-1,1,1771.62
1771,9,"1771-9-15 00:00:00",169,-1,-1,1,1771.71
1771,10,"1771-10-15 00:00:00",150,-1,-1,1,1771.79
1771,11,"1771-11-15 00:00:00",166.2,-1,-1,1,1771.88
1771,12,"1771-12-15 00:00:00",159.5,-1,-1,1,1771.96
1772,1,"1772-1-15 00:00:00",168.2,-1,-1,1,1772.04
1772,2,"1772-2-15 00:00:00",151.3,-1,-1,1,1772.12
1772,3,"1772-3-15 00:00:00",51.8,-1,-1,1,1772.21
1772,4,"1772-4-15 00:00:00",153.7,-1,-1,1,1772.29
1772,5,"1772-5-15 00:00:00",63.3,-1,-1,1,1772.38
1772,6,"1772-6-15 00:00:00",95,-1,-1,1,1772.46
1772,7,"1772-7-15 00:00:00",128.8,-1,-1,1,1772.54
1772,8,"1772-8-15 00:00:00",93.7,-1,-1,1,1772.62
1772,9,"1772-9-15 00:00:00",84.2,-1,-1,1,1772.71
1772,10,"1772-10-15 00:00:00",131,-1,-1,1,1772.79
1772,11,"1772-11-15 00:00:00",102.2,-1,-1,1,1772.88
1772,12,"1772-12-15 00:00:00",106.7,-1,-1,1,1772.96
1773,1,"1773-1-15 00:00:00",91,-1,-1,1,1773.04
1773,2,"1773-2-15 00:00:00",48.3,-1,-1,1,1773.12
1773,3,"1773-3-15 00:00:00",85.3,-1,-1,1,1773.21
1773,4,"1773-4-15 00:00:00",54.8,-1,-1,1,1773.29
1773,5,"1773-5-15 00:00:00",68.5,-1,-1,1,1773.38
1773,6,"1773-6-15 00:00:00",47.3,-1,-1,1,1773.46
1773,7,"1773-7-15 00:00:00",46.2,-1,-1,1,1773.54
1773,8,"1773-8-15 00:00:00",21.2,-1,-1,1,1773.62
1773,9,"1773-9-15 00:00:00",48.8,-1,-1,1,1773.71
1773,10,"1773-10-15 00:00:00",43.8,-1,-1,1,1773.79
1773,11,"1773-11-15 00:00:00",68.2,-1,-1,1,1773.88
1773,12,"1773-12-15 00:00:00",72,-1,-1,1,1773.96
1774,1,"1774-1-15 00:00:00",78,-1,-1,1,1774.04
1774,2,"1774-2-15 00:00:00",109,-1,-1,1,1774.12
1774,3,"1774-3-15 00:00:00",92.8,-1,-1,1,1774.21
1774,4,"1774-4-15 00:00:00",73,-1,-1,1,1774.29
1774,5,"1774-5-15 00:00:00",85.5,-1,-1,1,1774.38
1774,6,"1774-6-15 00:00:00",47.5,-1,-1,1,1774.46
1774,7,"1774-7-15 00:00:00",29.2,-1,-1,1,1774.54
1774,8,"1774-8-15 00:00:00",11,-1,-1,1,1774.62
1774,9,"1774-9-15 00:00:00",13.2,-1,-1,1,1774.71
1774,10,"1774-10-15 00:00:00",23.3,-1,-1,1,1774.79
1774,11,"1774-11-15 00:00:00",29.5,-1,-1,1,1774.88
1774,12,"1774-12-15 00:00:00",20.3,-1,-1,1,1774.96
1775,1,"1775-1-15 00:00:00",7.3,-1,-1,1,1775.04
1775,2,"1775-2-15 00:00:00",0,-1,-1,1,1775.12
1775,3,"1775-3-15 00:00:00",19.3,-1,-1,1,1775.21
1775,4,"1775-4-15 00:00:00",18.7,-1,-1,1,1775.29
1775,5,"1775-5-15 00:00:00",6.5,-1,-1,1,1775.38
1775,6,"1775-6-15 00:00:00",20.5,-1,-1,1,1775.46
1775,7,"1775-7-15 00:00:00",1.7,-1,-1,1,1775.54
1775,8,"1775-8-15 00:00:00",13.2,-1,-1,1,1775.62
1775,9,"1775-9-15 00:00:00",5.3,-1,-1,1,1775.71
1775,10,"1775-10-15 00:00:00",9.3,-1,-1,1,1775.79
1775,11,"1775-11-15 00:00:00",25.2,-1,-1,1,1775.88
1775,12,"1775-12-15 00:00:00",13.2,-1,-1,1,1775.96
1776,1,"1776-1-15 00:00:00",36.2,-1,-1,1,1776.04
1776,2,"1776-2-15 00:00:00",19.3,-1,-1,1,1776.12
1776,3,"1776-3-15 00:00:00",10.5,-1,-1,1,1776.21
1776,4,"1776-4-15 00:00:00",36.3,-1,-1,1,1776.29
1776,5,"1776-5-15 00:00:00",18.7,-1,-1,1,1776.38
1776,6,"1776-6-15 00:00:00",31.7,-1,-1,1,1776.46
1776,7,"1776-7-15 00:00:00",1.7,-1,-1,1,1776.54
1776,8,"1776-8-15 00:00:00",40.3,-1,-1,1,1776.62
1776,9,"1776-9-15 00:00:00",26.7,-1,-1,1,1776.71
1776,10,"1776-10-15 00:00:00",50,-1,-1,1,1776.79
1776,11,"1776-11-15 00:00:00",58.3,-1,-1,1,1776.88
1776,12,"1776-12-15 00:00:00",66.7,-1,-1,1,1776.96
1777,1,"1777-1-15 00:00:00",75,-1,-1,1,1777.04
1777,2,"1777-2-15 00:00:00",60.8,-1,-1,1,1777.12
1777,3,"1777-3-15 00:00:00",65,-1,-1,1,1777.21
1777,4,"1777-4-15 00:00:00",159.2,-1,-1,1,1777.29
1777,5,"1777-5-15 00:00:00",133.8,-1,-1,1,1777.38
1777,6,"1777-6-15 00:00:00",134.5,-1,-1,1,1777.46
1777,7,"1777-7-15 00:00:00",158.3,-1,-1,1,1777.54
1777,8,"1777-8-15 00:00:00",186.7,-1,-1,1,1777.62
1777,9,"1777-9-15 00:00:00",193.7,-1,-1,1,1777.71
1777,10,"1777-10-15 00:00:00",177.5,-1,-1,1,1777.79
1777,11,"1777-11-15 00:00:00",243.3,-1,-1,1,1777.88
1777,12,"1777-12-15 00:00:00",262.2,-1,-1,1,1777.96
1778,1,"1778-1-15 00:00:00",295.5,-1,-1,1,1778.04
1778,2,"1778-2-15 00:00:00",182.2,-1,-1,1,1778.12
1778,3,"1778-3-15 00:00:00",223.3,-1,-1,1,1778.21
1778,4,"1778-4-15 00:00:00",241.7,-1,-1,1,1778.29
1778,5,"1778-5-15 00:00:00",398.2,-1,-1,1,1778.38
1778,6,"1778-6-15 00:00:00",286,-1,-1,1,1778.46
1778,7,"1778-7-15 00:00:00",255,-1,-1,1,1778.54
1778,8,"1778-8-15 00:00:00",233.3,-1,-1,1,1778.62
1778,9,"1778-9-15 00:00:00",286.2,-1,-1,1,1778.71
1778,10,"1778-10-15 00:00:00",260.5,-1,-1,1,1778.79
1778,11,"1778-11-15 00:00:00",250.5,-1,-1,1,1778.88
1778,12,"1778-12-15 00:00:00",175,-1,-1,1,1778.96
1779,1,"1779-1-15 00:00:00",191.2,-1,-1,1,1779.04
1779,2,"1779-2-15 00:00:00",276.2,-1,-1,1,1779.12
1779,3,"1779-3-15 00:00:00",196.7,-1,-1,1,1779.21
1779,4,"1779-4-15 00:00:00",241.7,-1,-1,1,1779.29
1779,5,"1779-5-15 00:00:00",233.3,-1,-1,1,1779.38
1779,6,"1779-6-15 00:00:00",189.5,-1,-1,1,1779.46
1779,7,"1779-7-15 00:00:00",238.3,-1,-1,1,1779.54
1779,8,"1779-8-15 00:00:00",186.7,-1,-1,1,1779.62
1779,9,"1779-9-15 00:00:00",185,-1,-1,1,1779.71
1779,10,"1779-10-15 00:00:00",206.7,-1,-1,1,1779.79
1779,11,"1779-11-15 00:00:00",190,-1,-1,1,1779.88
1779,12,"1779-12-15 00:00:00",183.3,-1,-1,1,1779.96
1780,1,"1780-1-15 00:00:00",116.7,-1,-1,1,1780.04
1780,2,"1780-2-15 00:00:00",163.3,-1,-1,1,1780.12
1780,3,"1780-3-15 00:00:00",163.3,-1,-1,1,1780.21
1780,4,"1780-4-15 00:00:00",158.3,-1,-1,1,1780.29
1780,5,"1780-5-15 00:00:00",178.7,-1,-1,1,1780.38
1780,6,"1780-6-15 00:00:00",146.7,-1,-1,1,1780.46
1780,7,"1780-7-15 00:00:00",143.3,-1,-1,1,1780.54
